node,conceptualized_node,node_type
HE/638B,"管道, 系统, 设备, 供给, 水管, 工程, 管路",entity
流体侧压力,"压力, 流体, 力学, 压强, 动力, 介质",entity
眼睛,"器官, 感官, 视觉, 生理结构, 眼部, 五官",entity
风机风轮,"风轮, 风机, 叶片, 旋转部件, 机械装置",entity
无三角形警告标志,"标志, 警告, 信息, 安全, 图标, 信号",entity
具备专业资质人员完成,"专业人员, 资质人员, 操作者, 技术人员, 执业者",entity
冲洗,"清洗, 处理, 操作, 流程",entity
操作管道 NS1 / 644A,"管道, 系统, 设备, 流体传输, 工程组件",entity
飞溅部件,"部件, 飞溅物, 危险源, 机械组件, 安全隐患",entity
压力变送器 MBA51CP001,"传感器, 仪器, 设备, 仪表, 测量装置, 工业部件",entity
填充蓄能器,"蓄能装置, 气压元件, 储能设备, 液压组件, 压力容器",entity
电磁换向球阀 MBA53AA006,"阀门, 气动元件, 控制装置, 流体设备, 工业部件, 电磁阀",entity
蓄能器压力,"压力, 能量, 储存, 液压, 系统, 检测",entity
压力表 MBA51CP503,"仪表, 压力计, 测量设备, 传感器, 工业仪器",entity
MBA51AA256,"设备, 阀门, 控制部件, 机械组件, 工业部件",entity
温度监控装置连线,"设备, 系统, 连线, 监控, 传感器, 电路",entity
压力传感器MBA51CP101,"传感器, 设备, 仪器, 检测器, 元件, 电子器件",entity
模块未通电,"状态, 信号, 故障, 电气, 检测",entity
启动泵,"设备, 机械, 泵, 机械装置, 流体动力, 仪器",entity
产品部,"部门, 部门单位, 业务单元, 职能部门",entity
初版[默认],"版本, 初始, 默认, 模板",entity
安全数据单,"文件, 文档, 信息, 危险品, 化学品, 安全指南",entity
事故,"事件, 灾难, 安全隐患, 意外",entity
剩余压力,"压力, 剩余, 误差, 测量, 精度",entity
1,"数字, 数值, 量词, 起点",entity
粉尘浓度较高的环境,"环境, 条件, 场所, 空间",entity
运输文档签署之日起算,"期限, 时段, 起始点, 时点",entity
DG50011918,"设备, 模块, 手册, 编号, 资料",entity
电磁阀 MBA53AA006,"阀门, 控制装置, 机电部件, 机械元件, 工业设备, 零件",entity
设备损坏,"损坏, 故障, 损伤, 损毁, 问题",entity
氮气,"气体, 元素, 惰性气体, 化学物质, 气体元素",entity
电磁阀 MBA53AA001,"阀门, 设备, 零件, 机械, 控制器, 工业部件",entity
主推力端管道 HS2 / 642A,"管道, 系统, 部件, 设备, 通道, 流体, 机械",entity
气泡,"气泡, 流体, 气体, 空间, 现象",entity
电机 MBA51AP01-M01-E01,"电机, 设备, 机器, 部件, 产品",entity
MBA51AA255,"阀门, 设备, 零件, 机械, 控制元件",entity
6个月,"时间段, 时长, 期限, 期间",entity
主推力端管道 HS1 / 643A,"管道, 系统, 设备, 机械, 传输, 控制, 部件",entity
故障,"问题, 故障, 异常, 失灵, 损坏",entity
损坏,"损伤, 损坏, 破坏, 损害",entity
180 bar,"压力, 压强, 参数, 设定值",entity
工作介质含半液态或固态材质,"介质, 材质, 环境, 使用限制",entity
周蕾,"人物, 编制者, 专业人员, 工程师, 技术人员",entity
返回管道 HF / 639B,"管道, 设备, 系统, 机械, 工程, 管路",entity
保修范围,"范围, 保障, 条款, 义务, 责任",entity
用户,"用户, 个体, 人员, 参与者, 操作者, 顾客",entity
压力传感器MBA51CP103,"传感器, 压力检测, 工业设备, 控制元件, 电子元器件, 测量装置",entity
泵入口管,"管道, 管路, 设备, 部件, 机械, 连接, 流体, 入口, 系统, 阀门",entity
供给管道 HD / 637B,"管道, 设备, 系统, 传输, 工程, 配件",entity
蓄能器三通阀,"阀门, 设备, 机械, 控制元件, 工业部件",entity
已断开与管路连接,"断开, 连接, 管路, 状态, 检查",entity
爆炸,"爆炸, 突发事件, 能量释放, 破坏力, 危险事件",entity
皮囊式蓄能器,"蓄能器, 储能装置, 气压系统, 液压元件, 压力容器",entity
部件缺陷,"缺陷, 故障, 问题, 损坏, 误差, 误差源",entity
MBA51AA194,"模块, 设备, 安全装置, 组件, 零件",entity
旋转方向,"方向, 旋转, 轴向, 运动, 朝向",entity
存在油气挥发物质的环境,"环境, 场所, 区域, 气体, 危险, 挥发物",entity
溢流阀 MBA54AA192,"阀门, 压力控制, 工业部件, 机械元件, 控制装置",entity
三角形警告标志,"警告, 标志, 安全, 信号, 图形",entity
MBA54AA281,"模块, 阀门, 装置, 部件, 系统, 组件",entity
压力传感器MBA51CP102,"传感器, 压力设备, 监测装置, 电子元件, 工业部件",entity
00,"版本, 编号, 代号, 标识",entity
物位开关连线,"传感器, 连接, 信号, 仪器, 测量, 设备",entity
RDS模块,"模块, 设备, 接口, 组件, 系统, 零件",entity
HD / 637B,"管道, 设备, 系统, 管路, 工程, 供给",entity
人员安全,"安全, 人员, 风险, 防护, 健康, 保障",entity
泵,"设备, 机械, 机器, 流体装置, 动力装置, 传输工具",entity
维修工作,"工作, 维护, 修理, 任务, 工程, 作业",entity
球阀,"阀门, 阀门装置, 流体控制, 机械部件, 工业设备",entity
泵 MBA51AP001-KP01,"泵, 设备, 机械, 工业部件, 机器",entity
操作管道 NS2 / 645A,"管道, 设备, 系统, 工程, 机械",entity
纯度,"纯净, 纯净度, 纯粹, 纯质, 纯正",entity
安装调试说明书,"说明书, 指南, 操作文档, 使用手册, 技术文档",entity
氮气罐,"容器, 气体, 储存, 设备, 压力, 罐体",entity
刘海博,"人员, 工程师, 技术人员, 编制者, 项目成员",entity
致残性严重事故,"事故, 伤害, 危险, 意外, 风险",entity
表格,"表格, 数据, 信息, 结构, 模板",entity
24个月或36个月,"期限, 时长, 保修期",entity
RDS,"系统, 设备, 过程, 控制, 工艺, 流程",entity
嘴部,"器官, 部位, 开口, 身体, 口腔",entity
维护工作,"维护, 修理, 保养, 作业",entity
滑倒危险,"危险, 风险, 安全隐患",entity
填充器,"设备, 工具, 机械, 装置, 器具",entity
专业电气人员,"专业人员, 电气人员, 技术人员, 从业者, 工程师",entity
警告符号,"符号, 警示, 安全, 提示, 标识",entity
未遵守SGC手册要求,"违规, 违反, 条款, 失效, 违规行为",entity
液压流体,"流体, 液压介质, 传输介质, 能量载体",entity
火灾,"火灾, 灾难, 危险, 燃烧, 事故",entity
燃机RDS模块,"模块, 系统, 设备, 部件, 装置, 组件",entity
仪表针阀 MBA51AA304,"阀门, 仪表, 零件, 设备, 机械, 控制阀",entity
电磁换向球阀 MBA53AA005,"阀门, 气动元件, 控制装置, 工业设备, 电磁阀, 管道配件",entity
1 L/min,"流量, 单位, 流速, 参数",entity
操作管道 HS1 / 643A,"管道, 系统, 设施, 设备, 工程, 传输, 运行",entity
仪表针阀 MBA51AA301,"阀门, 仪器, 零件, 设备, 控制装置, 机械部件",entity
蓄能器已泄压,"压力释放, 安全状态, 维护准备, 设备状态",entity
仪表针阀 MBA51AA303,"阀门, 仪器, 零件, 设备, 控制装置, 机械部件",entity
油体流出,"油体, 流出, 压力, 管路, 阀门",entity
操作温度,"温度, 工作条件, 环境参数",entity
安装条件不符合3.3.2要求,"条件不符, 安装限制, 环境禁止",entity
节流阀 MBA54AA282,"阀门, 装置, 控制器, 机械部件, 流量调节器",entity
测量设备,"设备, 仪器, 工具, 测量, 仪表, 装置",entity
电磁换向球阀 MBA53AA004,"阀门, 控制装置, 机械部件, 流体控制, 工业设备, 电磁阀",entity
截止固件,"固件, 设备, 程序, 软件, 控制, 系统",entity
SGC,"组织, 机构, 单位, 团体, 部门",entity
底座安装孔,"孔位, 安装点, 固定孔, 机械孔, 连接点",entity
NS2 / 645A,"管道, 系统, 设备, 通道, 操作, 流体",entity
伤害,"伤害, 损害, 危害, 创伤, 损伤",entity
开路状态,"状态, 模式, 条件, 运行, 系统, 电力",entity
压缩空气,"气体, 压力, 能源, 流体, 动力, 介质",entity
HF / 639B,"管道, 设备, 系统, 部件, 工程, 机械",entity
停运,"停止, 停滞, 停闭, 停机, 停止运行",entity
MBA54AA282,"模块, 阀门, 装置, 零件, 设备, 组件",entity
温度,"温度, 物理量, 热力学, 量度, 状态",entity
瑞荟流体技术有限公司,"公司, 企业, 制造商, 技术公司, 机构",entity
MBA53AA306,"设备, 仪器, 固件, 管道, 排气, 操作",entity
蓄能器流体侧,"流体侧, 蓄能器, 压力释放, 系统隔离, 流体通道, 液压部件",entity
降压器,"设备, 器具, 机械, 装置, 工具, 仪器",entity
蓄能器三通阀 MBA51AA255,"阀门, 设备, 机械, 零件, 控制装置",entity
J11,"系统代码, 文件类型, 模块标识, 技术编码, 代码类型",entity
MBA53AA006-Y01-S11,"模块, 零件, 组件, 设备, 产品, 部件",entity
MBA51BB001,"模块, 装置, 设备, 组件, 系统, 零件",entity
起吊操作需听从,"指挥, 指导, 指令, 听从, 命令",relation
包含蓄能器,"储存能量, 能量储备, 能量容纳, 蓄能装置",relation
调试时需进行,"排查问题, 修复错误, 测试验证, 调整参数",relation
因为,"原因, 导致, 由...引起, 起因, 原理",relation
通电,"通电, 供电, 导电, 通电状态",relation
资料编号为,"编号关联, 资料标识, 唯一编号, 编码对应",relation
显示压力,"显现压力, 压力表现, 压力外显, 压力显露",relation
需要冲洗,"冲洗, 清洗, 冲刷, 洗涤, 冲净",relation
必须在起吊前确认,"确认前, 起吊前检查, 必须确认, 安全确认",relation
质保失效条件包括,"失效情形, 无效条件, 失效原因, 不适用情况",relation
必须关闭,"必须关闭, 强制关闭, 必须终止, 强制终止",relation
包含安全阀,"包含, 安全装置, 防护机制, 释放压力, 安全结构",relation
调试时需使用,"调试工具, 调试依赖, 调试辅助, 调试支持",relation
维护操作需由,"负责, 执行, 主导, 操作主体",relation
is participated by,"被参与, 被涉及, 被卷入, 被参加",relation
释放压力,"缓解压力, 释放负担, 心理疏导, 释放情绪",relation
使用液压油,"使用液压油, 液压传动, 油液驱动, 动力传输",relation
设定压力,"施加压力, 压力源, 压力制造, 压力施加",relation
质保期自,"起始日期, 有效期起点, 保修起始, 保障开端",relation
拥有产权,"拥有, 产权, 所有权, 占有",relation
设定流量,"设定流量, 调整流量, 控制流量, 分配流量",relation
质保期为,"保修期限, 保障时长, 有效保修, 保修周期",relation
制造,"生产, 制作, 创造, 打造, 构造",relation
安装于,"安装于, 固定于, 附着于, 嵌入于",relation
检查压力,"检测压力, 压力测试, 压力评估, 压力检验",relation
监控,"观察, 监视, 控制, 跟踪, 审视",relation
需保持与墙面距离,"保持距离, 留出空间, 避免接触, 间隔设置",relation
维护操作前需确认,"确认前操作, 操作前验证, 前置确认, 操作前检查",relation
启动,"开始, 启动, 发动, 激活",relation
禁止在以下环境使用,"禁止使用, 严禁进入, 不得存在, 禁止出现",relation
使用氮气,"充气, 氮化, 气体填充, 惰性保护",relation
连接至,"连接, 关联, 桥接, 通达, 联结",relation
得电时打开,"通电导通, 通电开启, 通电动作, 通电响应",relation
包含液压泵组,"包含, 涵盖, 包括, 蕴含",relation
提供氮气,"供氮, 氮气供给, 氮源提供",relation
包含流量调节阀,"包含, 调节, 阀门, 流量控制",relation
之后,"之后, 接续, 后续, 紧随",relation
包含电磁阀,"包含, 集成, 容纳, 包括",relation
调试前需检查,"检查前置, 预检条件, 前置验证, 检查准备",relation
需在干燥无尘环境中存放,"存放条件, 干燥环境, 无尘存放, 保存要求",relation
之前,"先前, 之前, 前于, 早于, 先行",relation
隔离系统,"封闭, 隔绝, 独立, 隔离, 独立存在",relation
需固定于,"固定于, 依附于, 定位在, 锁定于, 依托于",relation
配备降压器,"安装降压器, 配置降压装置, 加装降压设备, 配备减压组件",relation
起吊时绳索与箱体夹角应大于,"夹角大于, 角度控制, 起吊角度, 安全角度, 绳索角度",relation
得电时关闭,"断开, 关闭, 失电, 断路, 停止",relation
必须打开,"开启, 必须启动, 必须展开, 必须打开",relation
存放时间不超过,"存放时限, 时间限制, 保留期限, 存储周期",relation
